links,track,artist,seeds,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
https://www.last.fm/music/dope/_/die%2bmf%2bdie,Die MF Die,Dope,['angry'],3.771176470588235,5.348235294117648,5.441764705882353,b9eb3484-5e0e-4690-ab5a-ca91937032a5,5bU4KX47KqtDKKaLM4QCzh,metal
https://www.last.fm/music/deftones/_/7%2bwords,7 Words,Deftones,['angry'],3.8071212121212117,5.473939393939394,4.7290909090909095,1a826083-5585-445f-a708-415dc90aa050,6DoXuH326aAYEN8CnlLmhP,nu metal
https://www.last.fm/music/fiona%2bapple/_/limp,Limp,Fiona Apple,['angry'],3.7372108843537424,5.610204081632652,4.626734693877551,4435982c-b83e-4daa-af2b-9f3430036bb7,104YdibC7VQy78xAVmgRYr,singer-songwriter
https://www.last.fm/music/black%2bflag/_/depression,Depression,Black Flag,['angry'],3.2594444444444446,5.203055555555556,4.422777777777778,585398ed-1275-4579-9451-e8dd7db9d59c,1qxkzHlZBXFv5HfyYqJ8cy,punk
https://www.last.fm/music/pendulum/_/comprachicos,Comprachicos,Pendulum,['angry'],5.754166666666667,5.565333333333333,5.8365,a3c325ce-fac4-42b9-85da-b3c9e0f243af,2ZIJUwprFZrAaZCRKYfAno,industrial
https://www.last.fm/music/deftones/_/when%2bgirls%2btelephone%2bboys,When Girls Telephone Boys,Deftones,['angry'],3.9107407407407404,4.915555555555556,4.631851851851851,3bc2c1a9-43bc-45b2-87fc-4313eb2534fe,6xK3sBdRm99g9T8Ov0gjdF,metal
https://www.last.fm/music/kanye%2bwest/_/two%2bwords,Two Words,Kanye West,['angry'],4.564285714285714,5.13,4.8428571428571425,f6cc8417-e590-494c-aba9-e3cbc536442d,62wtttQzoIA9HnNmGVd9Yq,hip-hop
https://www.last.fm/music/black%2bflag/_/what%2bi%2bsee,What I See,Black Flag,['angry'],3.2054761904761904,5.0269047619047615,4.584761904761905,8050e7e7-2c7a-4390-bf77-eaedf293c626,3DaC3oRpGInTU0x8DvdSGp,punk
https://www.last.fm/music/lamb%2bof%2bgod/_/requiem,Requiem,Lamb of God,['angry'],2.9699999999999998,5.935999999999999,5.2139999999999995,23b46286-3b27-431b-8943-9be9d37836f9,0DxYrFOfiFShTbO2XdFpBX,metalcore
https://www.last.fm/music/black%2bflag/_/room%2b13,Room 13,Black Flag,['angry'],3.2849999999999997,5.2972222222222225,4.716296296296297,b83fe0b7-d40d-4e77-9b2b-606d36e4a391,7EZlzu01NzbR1jWEIDSk5T,punk
https://www.last.fm/music/mystikal/_/shake%2bya%2bass,Shake Ya Ass,Mystikal,['angry'],5.680882352941175,5.751911764705882,5.930882352941175,bf2761fe-8b4d-4cc8-bdea-0ccda7c3fed1,1jRzdY7oUBOhrylNtiMtBD,hip-hop
https://www.last.fm/music/deftones/_/combat,Combat,Deftones,['angry'],5.104098360655737,5.476229508196721,5.24467213114754,1b49361a-e594-490c-aa60-dde81b235d24,2tdzFXOsJLLI20QdnSqxr1,alternative metal
https://www.last.fm/music/fugazi/_/glue%2bman,Glue Man,Fugazi,['angry'],3.8386274509803924,4.418725490196079,4.059803921568627,9e387cb2-843f-4db0-a0eb-8ba677dfd93d,1Nvy8JAL3DrO0a6xdgJSvv,punk
https://www.last.fm/music/the%2banimals/_/boom%2bboom,Boom Boom,The Animals,['angry'],3.796341463414634,4.475853658536585,5.564390243902439,74fa2e8f-01c9-4eb3-8078-402c877b7e3b,3RwomkUaNHS0gFs3QqgudU,classic rock
https://www.last.fm/music/peaches/_/boys%2bwanna%2bbe%2bher,Boys Wanna Be Her,Peaches,['angry'],5.841999999999999,5.979833333333334,5.920166666666666,4f7635bb-a53e-4772-8351-82177499cf20,46sqkKk663MiT1u0WHLQKF,electroclash
https://www.last.fm/music/black%2bflag/_/no%2bmore,No More,Black Flag,['angry'],3.5075000000000003,4.64875,4.8025,cb6d5d36-33e7-4e7a-b233-fd9f610cafe2,35BOEtOvV1qwzjblSKcPJ1,punk
https://www.last.fm/music/crossfade/_/death%2btrend%2bsetta,Death Trend Setta,Crossfade,['angry'],2.96,5.6091304347826085,4.957826086956522,20408c00-1e6d-4f0b-a907-24a6aae9b33a,6Xpm4ajdj9SkiP08JKg3vK,rock
https://www.last.fm/music/black%2bflag/_/padded%2bcell,Padded Cell,Black Flag,['angry'],3.9846153846153847,5.235128205128204,5.487948717948718,5a69aa31-a004-4f5a-90c7-7389565431e9,6D69DWilPEsY2TqayoB7x5,punk
https://www.last.fm/music/run%2bthe%2bjewels/_/angel%2bduster,Angel Duster,Run the Jewels,['angry'],4.718333333333334,4.701666666666667,4.953333333333333,88af084e-ac25-40b4-84e3-cd0e488200cc,1V6qst2zfwpooDT1lfvDis,hip-hop
https://www.last.fm/music/sick%2bpuppies/_/cancer,Cancer,Sick Puppies,['angry'],5.162857142857144,4.864571428571429,5.937428571428572,43ec7c8e-6b8a-41ec-8348-d141572b8b78,0zc4RPw8fXQSVCM5HQnUGU,rock
https://www.last.fm/music/black%2bveil%2bbrides/_/knives%2band%2bpens,Knives and Pens,Black Veil Brides,['angry'],5.265714285714286,5.682857142857143,5.716428571428572,5512523a-e1eb-4712-bd63-e30495783993,2ZhswJTKMkNNTAjrTmPhOJ,post-hardcore
https://www.last.fm/music/beck/_/mutherfuker,Mutherfuker,Beck,['angry'],4.899213483146067,5.5585393258426965,5.1744943820224725,ccf93ad3-ed73-46c3-9993-91633ee45aa8,,rock
https://www.last.fm/music/seether/_/i%2527m%2bthe%2bone,I'm the One,Seether,['angry'],4.08,4.9799999999999995,5.05,5cb8474a-8603-4ff9-8a3a-77043e74bb1c,,rock
https://www.last.fm/music/meshuggah/_/this%2bspiteful%2bsnake,This Spiteful Snake,Meshuggah,['angry'],2.2624999999999997,4.1125,4.0275,5fd8e6c1-a2af-4599-8854-e170350f5015,2yxAAU2xKo2Z04Se01J4Bq,progressive metal
https://www.last.fm/music/the%2banimals/_/i%2527m%2bcrying,I'm Crying,The Animals,['angry'],3.484406779661017,4.272033898305085,5.241694915254237,19aa367b-bda0-4d04-a66c-78e7216be351,,rock
https://www.last.fm/music/faith%2bno%2bmore/_/cuckoo%2bfor%2bcaca,Cuckoo for Caca,Faith No More,['angry'],3.3045161290322587,4.837741935483871,4.433225806451613,87081726-7e38-4945-94d3-7ca3ea4b57b2,3DV0DO7GweUc75R38P6mOe,metal
https://www.last.fm/music/the%2brapture/_/the%2bcoming%2bof%2bspring,The Coming Of Spring,The Rapture,['angry'],4.83,5.173333333333334,5.8533333333333335,c28da4af-17c6-4b32-9dcd-d3be5f1006cd,5pzZT3IG4TFxSlmhknYWes,indie rock
